Data,Ticker,Prezzo,Probabilita_IA,Segnale,Stato,Capitale_Totale_USD,PnL_USD,PnL_PCT
2026-07-31,PORTFOLIO,0.00,0.0000,SUMMARY,OK,10000.00,0.00,0.00%
2026-07-31,PORTFOLIO,0.00,0.0000,SUMMARY,OK,9989.47,-10.53,-0.11%
2026-07-31,PORTFOLIO,0.00,0.0000,SUMMARY,OK,9985.71,-14.29,-0.14%
2026-07-31,PORTFOLIO,0.00,0.0000,SUMMARY,OK,9985.71,-14.29,-0.14%
2026-08-03,PORTFOLIO,0.00,0.0000,SUMMARY,OK,10103.99,103.99,1.04%
2026-08-04,PORTFOLIO,0.00,0.0000,SUMMARY,OK,10206.65,206.65,2.07%
2026-08-05,PORTFOLIO,0.00,0.0000,SUMMARY,OK,10271.31,271.31,2.71%
2026-08-06,PORTFOLIO,0.00,0.0000,SUMMARY,OK,10271.31,271.31,2.71%
2026-08-07,PORTFOLIO,0.00,0.0000,SUMMARY,OK,10218.07,218.07,2.18%
2026-08-07,PORTFOLIO,0.00,0.0000,SUMMARY,OK,10218.07,218.07,2.18%
2026-08-07,PORTFOLIO,0.00,0.0000,SUMMARY,OK,10218.07,218.07,2.18%
2026-08-10,PORTFOLIO,0.00,0.0000,SUMMARY,OK,10243.79,243.79,2.44%
2026-08-11,PORTFOLIO,0.00,0.0000,SUMMARY,OK,10225.08,225.08,2.25%
2026-08-12,PORTFOLIO,0.00,0.0000,SUMMARY,OK,10250.10,250.10,2.50%
2026-08-13,PORTFOLIO,0.00,0.0000,SUMMARY,OK,10296.48,296.48,2.96%
